fold,mae,rmse,close_mae,close_rmse,test_loss,sMape,r2,medae,evs,predictions,psi,bias,error_std
1,0.5882511467359257,0.7522507948123414,2.8724972268830102,3.6795742587350393,0.2682076394557953,146.62599040011563,-0.20618518104285077,0.5497143627441627,0.09953902189344366,"[[-0.08975867]
 [-0.02685051]
 [ 0.09327316]
 [-0.03355626]
 [-0.20902592]
 [-0.5094969 ]
 [-0.8410414 ]
 [-0.87754565]
 [-0.6811179 ]
 [-0.5095669 ]
 [-0.46029484]
 [-0.39346972]
 [-0.30616635]
 [-0.342695  ]
 [-0.3436325 ]
 [-0.38474292]
 [-0.4435135 ]
 [-0.48439887]
 [-0.3258718 ]
 [-0.23577121]
 [-0.20390622]]",15.119508774739776,-0.37872203284324163,0.7269184807257092
2,1.0728640389898318,1.349244140735773,2.509753435427143,3.4515918404841877,0.6813638210296631,146.20859327796242,-0.4386517112594217,0.914498408878558,-0.16479725510017795,"[[-0.29748526]
 [-0.32686085]
 [-0.43276232]
 [-0.63145596]
 [-0.7980903 ]
 [-0.6923507 ]
 [-0.3742902 ]
 [-0.10924478]
 [-0.5559827 ]
 [-1.3930751 ]
 [-1.2201109 ]
 [-0.8992119 ]
 [-0.63603985]
 [-0.5282087 ]
 [-0.40234846]
 [-0.41284823]
 [-0.42262843]
 [-0.40890253]
 [-0.38115588]
 [-0.3712385 ]
 [-0.3211892 ]]",14.846706660789852,-0.5886709621240783,1.164825408093217
3,0.8031637279566676,0.9779260208906634,3.385541628833115,3.967276098827426,0.43400946259498596,132.18412341365203,-0.5982568771929313,0.7420897450106891,0.09011571249592631,"[[-0.5419379 ]
 [-0.5992572 ]
 [-0.7080915 ]
 [-0.72571206]
 [-0.78183115]
 [-0.8514316 ]
 [-0.8772594 ]
 [-0.8866819 ]
 [-0.87265784]
 [-0.8783668 ]
 [-0.9173751 ]
 [-0.9140943 ]
 [-0.8629277 ]
 [-0.82857114]
 [-0.83408916]
 [-0.89689195]
 [-0.88274914]
 [-0.6969845 ]
 [-0.47315288]
 [-0.3177232 ]
 [-0.24997586]]",15.022164178607346,-0.6417922901061335,0.7972297471132261
4,0.4688134575972771,0.5821008631417744,1.8765005495778904,2.3441825352658303,0.16886842250823975,156.40944124957656,-0.09789081588554449,0.30961856074777094,-0.02236511709467104,"[[ 0.08193643]
 [-0.02949202]
 [-0.09275834]
 [-0.00944001]
 [ 0.08747269]
 [ 0.15677755]
 [ 0.12846221]
 [ 0.10380614]
 [ 0.09253779]
 [ 0.08916099]
 [ 0.10083289]
 [ 0.09324527]
 [ 0.15780132]
 [ 0.10826023]
 [ 0.07770629]
 [ 0.07257058]
 [ 0.09447941]
 [ 0.09995553]
 [ 0.08847867]
 [ 0.05492194]
 [ 0.02949572]]",12.685532556619522,-0.1526743372073354,0.5585322751036467
5,0.7939570987428368,0.9818176990345532,1.6706751733455374,2.2453489739454167,0.41694241762161255,165.54723804384972,-0.2930408965904565,0.7048571293831378,-0.15902591119841292,"[[-0.06773544]
 [-0.04118121]
 [-0.02653335]
 [-0.06314779]
 [-0.06663904]
 [-0.0421637 ]
 [-0.03293666]
 [-0.03509092]
 [-0.06890844]
 [ 0.03217706]
 [-0.07479233]
 [-0.03442955]
 [ 0.07279631]
 [ 0.16517673]
 [ 0.19711554]
 [ 0.1610697 ]
 [ 0.15607092]
 [ 0.22960131]
 [ 0.2754209 ]
 [ 0.24564962]
 [ 0.28289896]]",17.211832173411064,0.31608319597322715,0.872931434010423
6,1.1040106225349084,1.42576039923723,3.725232230975055,4.761936642959874,0.7227765321731567,157.4888504255664,0.0010060388184669478,0.9276882741520154,0.022169455387269554,"[[ 0.02240182]
 [ 0.11191666]
 [ 0.17771858]
 [ 0.18315591]
 [ 0.15427023]
 [ 0.19040003]
 [ 0.2543028 ]
 [ 0.42425102]
 [ 0.39701203]
 [ 0.32099897]
 [ 0.29659814]
 [ 0.3336593 ]
 [ 0.40278438]
 [ 0.24065539]
 [ 0.01853403]
 [-0.19792241]
 [-0.23329043]
 [ 0.03877408]
 [ 0.20073919]
 [ 0.26877135]
 [ 0.34303552]]",10.833175094069894,0.20751906723809188,1.4372220617919247
7,0.95011632467143,1.2438286696662173,3.3913598992676772,4.03632136145879,0.574632465839386,156.8299523794248,-0.04708389820045489,0.6939006231514093,0.027588126364998522,"[[ 0.25604483]
 [ 0.24436677]
 [ 0.24575493]
 [ 0.2445499 ]
 [ 0.27290678]
 [ 0.2621511 ]
 [ 0.17439267]
 [ 0.11767419]
 [ 0.06734096]
 [-0.0532077 ]
 [-0.1723805 ]
 [-0.4281989 ]
 [-0.5666413 ]
 [-0.64104915]
 [-0.7164924 ]
 [-0.60746574]
 [-0.38880643]
 [-0.12748739]
 [ 0.02301871]
 [ 0.23109582]
 [ 0.3967221 ]]",9.878739752514715,0.33216111180526503,1.265102666680049
8,1.8577028615152125,2.8469082284521203,4.185355529924504,5.290826272477347,1.469145655632019,152.88793978656497,0.12479799643049772,1.029089596353859,0.13949929547429973,"[[ 0.27063012]
 [ 0.52096444]
 [ 0.26262808]
 [-0.01888856]
 [ 0.15745695]
 [ 0.24227099]
 [ 0.7051939 ]
 [ 0.5616353 ]
 [ 0.53665835]
 [ 0.24758764]
 [ 0.32983065]
 [ 0.01895479]
 [-0.0225421 ]
 [-0.27193213]
 [-0.64623547]
 [-0.22292705]
 [ 0.23861398]
 [ 0.88697815]
 [ 0.29204923]
 [ 0.29703343]
 [ 0.1545455 ]]",7.771054893218109,0.3689751958712446,3.0616066811955704
9,0.9105024195396965,1.2452010531279323,7.65764540186194,10.238263597700726,0.5321268439292908,150.9912925927728,-0.23194128395870584,0.7164930612688274,-0.23193102268658672,"[[-0.01899922]
 [ 0.1781263 ]
 [ 0.6711503 ]
 [ 1.2236861 ]
 [ 1.3343549 ]
 [ 1.267144  ]
 [ 1.9034433 ]
 [ 1.5004703 ]
 [ 0.84195817]
 [ 0.08556771]
 [-0.4544393 ]
 [-0.77846324]
 [-0.88250387]
 [-0.9946766 ]
 [-0.62972814]
 [-0.31595123]
 [-0.53272873]
 [-0.5704348 ]
 [-0.6253674 ]
 [-0.61546564]
 [-0.8233212 ]]",11.389200053785808,-0.003593726955048602,1.4371496562628727
10,0.4981414926766483,0.6372544610964364,3.2301304713335632,4.634779915444635,0.19191014766693115,140.12227292068917,-0.06820300012846503,0.4005948871852031,-0.04630338684086999,"[[ 0.02871032]
 [ 0.01228384]
 [-0.17029381]
 [-0.29683405]
 [-0.33278093]
 [-0.41522336]
 [-0.44653586]
 [-0.46866947]
 [-0.47303444]
 [-0.3994326 ]
 [-0.22238916]
 [-0.00502375]
 [ 0.14320642]
 [ 0.20142192]
 [ 0.0897329 ]
 [-0.08605028]
 [-0.2221908 ]
 [-0.20066735]
 [-0.25543314]
 [-0.2785638 ]
 [-0.24958128]]",14.862522909933286,-0.09124397791346078,0.6483603523477421
